,Date,ESI,station
110,7/9/13,-9999,2177:AL:SCAN
111,7/9/13,-9999,2113:AL:SCAN
112,7/9/13,-1.5743642,2174:AL:SCAN
113,7/9/13,-9999,2055:AL:SCAN
114,7/9/13,-9999,2173:AL:SCAN
115,7/9/13,-9999,2180:AL:SCAN
116,7/9/13,-9999,2114:AL:SCAN
117,7/9/13,1.4422455,2178:AL:SCAN
118,7/9/13,-9999,2181:AL:SCAN
119,7/9/13,-9999,2182:AL:SCAN
120,7/9/13,-9999,2176:AL:SCAN
121,7/9/13,-9999,2056:AL:SCAN
122,7/9/13,-0.59477955,2179:AL:SCAN
123,7/9/13,-9999,2115:AL:SCAN
124,7/9/13,-9999,2175:AL:SCAN
125,7/9/13,-9999,2053:AL:SCAN
126,8/27/13,-0.020478478,2057:AL:SCAN
127,8/27/13,0.6132309,2078:AL:SCAN
128,8/27/13,0.087603234,2177:AL:SCAN
129,8/27/13,1.1751692,2113:AL:SCAN
130,8/27/13,-0.06834668,2174:AL:SCAN
131,8/27/13,-9999,2055:AL:SCAN
132,8/27/13,0.5952272,2173:AL:SCAN
133,8/27/13,-3.3792815,2180:AL:SCAN
134,8/27/13,0.11567601,2114:AL:SCAN
135,8/27/13,0.75904167,2178:AL:SCAN
136,8/27/13,-0.31866494,2181:AL:SCAN
137,8/27/13,-0.092561595,2182:AL:SCAN
138,8/27/13,1.1139302,2176:AL:SCAN
139,8/27/13,0.37086555,2056:AL:SCAN
140,8/27/13,0.8435113,2179:AL:SCAN
141,8/27/13,0.41404027,2115:AL:SCAN
142,8/27/13,-9999,2175:AL:SCAN
143,8/27/13,-0.17571655,2053:AL:SCAN
144,12/10/13,0.94885826,2057:AL:SCAN
145,12/10/13,-0.11186476,2078:AL:SCAN
146,12/10/13,-9999,2177:AL:SCAN
147,12/10/13,2.1018763,2113:AL:SCAN
148,12/10/13,1.5560668,2174:AL:SCAN
149,12/10/13,-9999,2055:AL:SCAN
150,12/10/13,1.1621388,2173:AL:SCAN
151,12/10/13,-0.13477372,2180:AL:SCAN
152,12/10/13,-9999,2114:AL:SCAN
153,12/10/13,-9999,2178:AL:SCAN
154,12/10/13,-9999,2181:AL:SCAN
155,12/10/13,-9999,2182:AL:SCAN
156,12/10/13,-9999,2176:AL:SCAN
157,12/10/13,0.96632934,2056:AL:SCAN
158,12/10/13,2.196355,2179:AL:SCAN
159,12/10/13,-9999,2115:AL:SCAN
160,12/10/13,-9999,2175:AL:SCAN
161,12/10/13,-0.46611142,2053:AL:SCAN
162,9/3/13,-0.98799205,2057:AL:SCAN
163,9/3/13,-1.3983785,2078:AL:SCAN
164,9/3/13,-0.14594375,2177:AL:SCAN
165,9/3/13,-1.1044145,2113:AL:SCAN
166,9/3/13,-1.1794692,2174:AL:SCAN
167,9/3/13,-9999,2055:AL:SCAN
168,9/3/13,0.04198302,2173:AL:SCAN
169,9/3/13,0.33954635,2180:AL:SCAN
170,9/3/13,-0.6438257,2114:AL:SCAN
171,9/3/13,0.031699006,2178:AL:SCAN
172,9/3/13,1.4287672,2181:AL:SCAN
173,9/3/13,0.13431354,2182:AL:SCAN
174,9/3/13,0.16599864,2176:AL:SCAN
175,9/3/13,-0.70503116,2056:AL:SCAN
176,9/3/13,-0.46231478,2179:AL:SCAN
177,9/3/13,0.54760355,2115:AL:SCAN
178,9/3/13,-0.2310337,2175:AL:SCAN
179,9/3/13,-0.57683486,2053:AL:SCAN
180,8/13/13,1.9963499,2057:AL:SCAN
181,8/13/13,-9999,2078:AL:SCAN
182,8/13/13,1.0038865,2177:AL:SCAN
183,8/13/13,-9999,2113:AL:SCAN
184,8/13/13,0.9761427,2174:AL:SCAN
185,8/13/13,-9999,2055:AL:SCAN
186,8/13/13,-9999,2173:AL:SCAN
187,8/13/13,1.0939044,2180:AL:SCAN
188,8/13/13,-9999,2114:AL:SCAN
189,8/13/13,-9999,2178:AL:SCAN
190,8/13/13,0.9092405,2181:AL:SCAN
191,8/13/13,0.80236155,2182:AL:SCAN
192,8/13/13,0.79963475,2176:AL:SCAN
193,8/13/13,-9999,2056:AL:SCAN
194,8/13/13,-9999,2179:AL:SCAN
195,8/13/13,-9999,2115:AL:SCAN
196,8/13/13,-9999,2175:AL:SCAN
197,8/13/13,-9999,2053:AL:SCAN
198,4/2/13,2.0437963,2057:AL:SCAN
199,4/2/13,2.2621362,2078:AL:SCAN
200,4/2/13,0.90072227,2177:AL:SCAN
201,4/2/13,1.3195944,2113:AL:SCAN
202,4/2/13,1.5510944,2174:AL:SCAN
203,4/2/13,0.3429241,2055:AL:SCAN
204,4/2/13,1.5212598,2173:AL:SCAN
205,4/2/13,0.5832492,2180:AL:SCAN
206,4/2/13,1.5265917,2114:AL:SCAN
207,4/2/13,0.55413026,2178:AL:SCAN
208,4/2/13,1.1546645,2181:AL:SCAN
209,4/2/13,0.5930876,2182:AL:SCAN
210,4/2/13,0.6501625,2176:AL:SCAN
211,4/2/13,1.4735148,2056:AL:SCAN
212,4/2/13,2.1839006,2179:AL:SCAN
213,4/2/13,1.360256,2115:AL:SCAN
214,4/2/13,1.4801254,2175:AL:SCAN
215,4/2/13,2.9929402,2053:AL:SCAN
216,12/24/13,-0.391339,2057:AL:SCAN
217,12/24/13,0.42750362,2078:AL:SCAN
218,12/24/13,-0.45168057,2177:AL:SCAN
219,12/24/13,-0.15768899,2113:AL:SCAN
220,12/24/13,-0.40417174,2174:AL:SCAN
221,12/24/13,-0.731102,2055:AL:SCAN
222,12/24/13,-1.3666568,2173:AL:SCAN
223,12/24/13,-0.44866922,2180:AL:SCAN
224,12/24/13,-0.29847056,2114:AL:SCAN
225,12/24/13,-0.5897347,2178:AL:SCAN
226,12/24/13,-0.7334323,2181:AL:SCAN
227,12/24/13,0.00922954,2182:AL:SCAN
228,12/24/13,-0.27541438,2176:AL:SCAN
229,12/24/13,0.14958131,2056:AL:SCAN
230,12/24/13,-0.36854944,2179:AL:SCAN
231,12/24/13,-0.46936518,2115:AL:SCAN
232,12/24/13,-0.08774461,2175:AL:SCAN
233,12/24/13,0.0102021,2053:AL:SCAN
234,12/3/13,0.3613995,2057:AL:SCAN
235,12/3/13,0.2864798,2078:AL:SCAN
236,12/3/13,1.7637241,2177:AL:SCAN
237,12/3/13,0.5092532,2113:AL:SCAN
238,12/3/13,1.1829357,2174:AL:SCAN
239,12/3/13,1.1101892,2055:AL:SCAN
240,12/3/13,0.1488543,2173:AL:SCAN
241,12/3/13,0.68430746,2180:AL:SCAN
242,12/3/13,1.4857765,2114:AL:SCAN
243,12/3/13,1.4419588,2178:AL:SCAN
244,12/3/13,0.31246874,2181:AL:SCAN
245,12/3/13,1.0298662,2182:AL:SCAN
246,12/3/13,0.97567683,2176:AL:SCAN
247,12/3/13,0.78823215,2056:AL:SCAN
248,12/3/13,1.3005823,2179:AL:SCAN
249,12/3/13,0.82608515,2115:AL:SCAN
