,ESI,Latitude,Longitude,Date,StationTriplet
83,-0.506,31.01912,-85.03693,2001-01-29,2182:AL:SCAN
84,0.259,32.40392,-86.89137,2001-01-29,2176:AL:SCAN
85,-0.55,34.43333,-86.68333,2001-01-29,2056:AL:SCAN
86,-0.042,34.17973,-87.45618,2001-01-29,2179:AL:SCAN
87,-1.311,32.43455,-85.74802,2001-01-29,2115:AL:SCAN
88,-0.591,33.33168,-85.51818,2001-01-29,2175:AL:SCAN
89,0.331,34.9,-86.53333,2001-01-29,2053:AL:SCAN
90,-0.794,34.78333,-86.55,2001-02-05,2057:AL:SCAN
91,-0.611,34.89375,-86.60236,2001-02-05,2078:AL:SCAN
92,-0.075,32.28393,-86.05253,2001-02-05,2177:AL:SCAN
93,-0.041,34.19492,-86.79897,2001-02-05,2113:AL:SCAN
94,-0.055,33.10768,-88.31003,2001-02-05,2174:AL:SCAN
95,-0.485,34.4448,-86.16557,2001-02-05,2055:AL:SCAN
96,-0.581,34.81982,-87.98685,2001-02-05,2173:AL:SCAN
97,0.104,30.5238,-87.69797,2001-02-05,2180:AL:SCAN
98,-0.945,32.608,-88.19743,2001-02-05,2114:AL:SCAN
99,-0.043,32.41222,-85.91028,2001-02-05,2178:AL:SCAN
100,-0.074,31.10923,-87.55277,2001-02-05,2181:AL:SCAN
101,-1.65,31.01912,-85.03693,2001-02-05,2182:AL:SCAN
102,0.207,32.40392,-86.89137,2001-02-05,2176:AL:SCAN
103,-0.244,34.43333,-86.68333,2001-02-05,2056:AL:SCAN
104,-0.201,34.17973,-87.45618,2001-02-05,2179:AL:SCAN
105,0.145,32.43455,-85.74802,2001-02-05,2115:AL:SCAN
106,0.278,33.33168,-85.51818,2001-02-05,2175:AL:SCAN
107,-1.057,34.9,-86.53333,2001-02-05,2053:AL:SCAN
108,-3.093,34.78333,-86.55,2001-02-12,2057:AL:SCAN
109,-1.955,34.89375,-86.60236,2001-02-12,2078:AL:SCAN
110,-0.829,32.28393,-86.05253,2001-02-12,2177:AL:SCAN
111,-1.586,34.19492,-86.79897,2001-02-12,2113:AL:SCAN
112,-0.786,33.10768,-88.31003,2001-02-12,2174:AL:SCAN
113,-1.214,34.4448,-86.16557,2001-02-12,2055:AL:SCAN
114,-0.64,34.81982,-87.98685,2001-02-12,2173:AL:SCAN
115,-1.778,30.5238,-87.69797,2001-02-12,2180:AL:SCAN
116,-0.368,32.608,-88.19743,2001-02-12,2114:AL:SCAN
117,-1.105,32.41222,-85.91028,2001-02-12,2178:AL:SCAN
118,-0.836,31.10923,-87.55277,2001-02-12,2181:AL:SCAN
119,-0.678,31.01912,-85.03693,2001-02-12,2182:AL:SCAN
120,-1.667,32.40392,-86.89137,2001-02-12,2176:AL:SCAN
121,-1.13,34.43333,-86.68333,2001-02-12,2056:AL:SCAN
122,-1.178,34.17973,-87.45618,2001-02-12,2179:AL:SCAN
123,-0.893,32.43455,-85.74802,2001-02-12,2115:AL:SCAN
124,-0.527,33.33168,-85.51818,2001-02-12,2175:AL:SCAN
125,-3.5,34.9,-86.53333,2001-02-12,2053:AL:SCAN
126,-1.733,34.78333,-86.55,2001-02-19,2057:AL:SCAN
127,-1.554,34.89375,-86.60236,2001-02-19,2078:AL:SCAN
128,-0.961,32.28393,-86.05253,2001-02-19,2177:AL:SCAN
129,-1.521,34.19492,-86.79897,2001-02-19,2113:AL:SCAN
130,-0.93,33.10768,-88.31003,2001-02-19,2174:AL:SCAN
131,-0.638,34.4448,-86.16557,2001-02-19,2055:AL:SCAN
132,-1.408,34.81982,-87.98685,2001-02-19,2173:AL:SCAN
133,-2.176,30.5238,-87.69797,2001-02-19,2180:AL:SCAN
134,-0.667,32.608,-88.19743,2001-02-19,2114:AL:SCAN
135,-1.186,32.41222,-85.91028,2001-02-19,2178:AL:SCAN
136,-0.966,31.10923,-87.55277,2001-02-19,2181:AL:SCAN
137,-2.196,31.01912,-85.03693,2001-02-19,2182:AL:SCAN
138,-1.353,32.40392,-86.89137,2001-02-19,2176:AL:SCAN
139,-1.198,34.43333,-86.68333,2001-02-19,2056:AL:SCAN
