DateTime,Timeseries
1/29/2004 0:00,0.30628705
2/5/2004 0:00,0.701952398
2/12/2004 0:00,0.536106884
2/19/2004 0:00,0.599224687
2/26/2004 0:00,-0.266616464
3/4/2004 0:00,-0.581692696
3/11/2004 0:00,-1.07867682
3/18/2004 0:00,-1.079669356
3/25/2004 0:00,-1.18353796
4/1/2004 0:00,-0.498553693
4/8/2004 0:00,-0.447505176
4/15/2004 0:00,-0.681870162
4/22/2004 0:00,-0.041463625
4/29/2004 0:00,-0.312642664
5/6/2004 0:00,-0.526610017
5/13/2004 0:00,-0.158190995
5/20/2004 0:00,-1.081763625
5/27/2004 0:00,-0.54915756
6/3/2004 0:00,-0.536033154
6/10/2004 0:00,-0.051145695
6/17/2004 0:00,0.746580839
6/24/2004 0:00,0.701447964
7/1/2004 0:00,0.775559068
7/8/2004 0:00,0.370473117
7/15/2004 0:00,0.011290688
7/22/2004 0:00,-0.177629203
7/29/2004 0:00,0.212047979
8/5/2004 0:00,0.576713264
8/12/2004 0:00,0.6453619
8/19/2004 0:00,0.995963156
8/26/2004 0:00,0.237271845
9/2/2004 0:00,0.216727316
9/9/2004 0:00,0.245612055
9/16/2004 0:00,0.205660671
9/23/2004 0:00,0.96278733
9/30/2004 0:00,0.962818146
10/7/2004 0:00,1.274223924
10/14/2004 0:00,0.980245411
10/21/2004 0:00,0.011240358
10/28/2004 0:00,-0.927988589
11/4/2004 0:00,-0.321437925
11/11/2004 0:00,0.592266083
11/18/2004 0:00,1.076832652
11/25/2004 0:00,0.48599261
12/2/2004 0:00,0.510128438
12/11/2004 0:00,
12/18/2004 0:00,
12/25/2004 0:00,0.67713505
1/1/2005 0:00,-0.083015174
1/8/2005 0:00,0.686124027
1/15/2005 0:00,0.509970546
1/22/2005 0:00,0.879619122
1/29/2005 0:00,1.334701419
2/5/2005 0:00,0.151786
2/12/2005 0:00,-1.735054731
2/19/2005 0:00,-0.530239344
2/26/2005 0:00,-0.690147161
3/5/2005 0:00,-0.645122826
3/12/2005 0:00,0.478835672
3/19/2005 0:00,-1.014962316
3/26/2005 0:00,-0.444528401
4/2/2005 0:00,-0.116345726
4/9/2005 0:00,0.028070576
4/16/2005 0:00,0.333056509
4/23/2005 0:00,0.303236663
4/30/2005 0:00,-0.033948019
5/7/2005 0:00,0.596234381
5/14/2005 0:00,1.063669562
