Date,ESI,station
2/12/2001,-1.7776396,2180:AL:SCAN
2/12/2001,-0.36818194,2114:AL:SCAN
2/12/2001,-1.105322,2178:AL:SCAN
2/12/2001,-0.83568263,2181:AL:SCAN
2/12/2001,-0.678347,2182:AL:SCAN
2/12/2001,-1.6665461,2176:AL:SCAN
2/12/2001,-1.1303362,2056:AL:SCAN
2/12/2001,-1.1775472,2179:AL:SCAN
2/12/2001,-0.8929572,2115:AL:SCAN
2/12/2001,-0.5272503,2175:AL:SCAN
2/12/2001,-3.5,2053:AL:SCAN
2/19/2001,-1.7327147,2057:AL:SCAN
2/19/2001,-1.5538117,2078:AL:SCAN
2/19/2001,-0.96074134,2177:AL:SCAN
2/19/2001,-1.521282,2113:AL:SCAN
2/19/2001,-0.9295373,2174:AL:SCAN
2/19/2001,-0.6380268,2055:AL:SCAN
2/19/2001,-1.4075143,2173:AL:SCAN
2/19/2001,-2.1761978,2180:AL:SCAN
2/19/2001,-0.66680896,2114:AL:SCAN
2/19/2001,-1.1864233,2178:AL:SCAN
2/19/2001,-0.9659697,2181:AL:SCAN
2/19/2001,-2.1958377,2182:AL:SCAN
2/19/2001,-1.3528273,2176:AL:SCAN
2/19/2001,-1.1978477,2056:AL:SCAN
2/19/2001,-1.357883,2179:AL:SCAN
2/19/2001,-0.8951829,2115:AL:SCAN
2/19/2001,-0.58019495,2175:AL:SCAN
2/19/2001,-1.2952104,2053:AL:SCAN
2/26/2001,-0.7593759,2057:AL:SCAN
2/26/2001,-1.5802677,2078:AL:SCAN
2/26/2001,-0.47134477,2177:AL:SCAN
2/26/2001,-1.4022697,2113:AL:SCAN
2/26/2001,-0.8477529,2174:AL:SCAN
2/26/2001,-0.99861866,2055:AL:SCAN
2/26/2001,-0.4372173,2173:AL:SCAN
2/26/2001,0.18062657,2180:AL:SCAN
2/26/2001,-0.2595555,2114:AL:SCAN
2/26/2001,-0.6190719,2178:AL:SCAN
2/26/2001,-0.10957427,2181:AL:SCAN
2/26/2001,-0.36067602,2182:AL:SCAN
2/26/2001,-0.26454663,2176:AL:SCAN
2/26/2001,-1.0630351,2056:AL:SCAN
2/26/2001,-1.6113716,2179:AL:SCAN
2/26/2001,-0.23841973,2115:AL:SCAN
2/26/2001,0.002860867,2175:AL:SCAN
2/26/2001,-2.2660587,2053:AL:SCAN
3/5/2001,-0.6726912,2057:AL:SCAN
3/5/2001,-1.0210166,2078:AL:SCAN
3/5/2001,0.40426838,2177:AL:SCAN
3/5/2001,-0.52188516,2113:AL:SCAN
3/5/2001,-1.4081231,2174:AL:SCAN
3/5/2001,0.36408713,2055:AL:SCAN
3/5/2001,-0.93361324,2173:AL:SCAN
3/5/2001,-1.6893436,2180:AL:SCAN
3/5/2001,-0.2097563,2114:AL:SCAN
3/5/2001,-0.8171652,2178:AL:SCAN
3/5/2001,0.62924635,2181:AL:SCAN
3/5/2001,-0.75181144,2182:AL:SCAN
3/5/2001,-0.7661627,2176:AL:SCAN
3/5/2001,-0.7244901,2056:AL:SCAN
3/5/2001,-0.9893977,2179:AL:SCAN
3/5/2001,-0.85882205,2115:AL:SCAN
3/5/2001,-0.3260236,2175:AL:SCAN
3/5/2001,-1.4632215,2053:AL:SCAN
3/12/2001,-0.5292808,2057:AL:SCAN
3/12/2001,-0.6293012,2078:AL:SCAN
3/12/2001,0.34730244,2177:AL:SCAN
3/12/2001,-0.3889358,2113:AL:SCAN
3/12/2001,-0.3246892,2174:AL:SCAN
3/12/2001,0.85335034,2055:AL:SCAN
3/12/2001,-0.77732986,2173:AL:SCAN
3/12/2001,-1.0056424,2180:AL:SCAN
3/12/2001,0.4538502,2114:AL:SCAN
3/12/2001,0.6077211,2178:AL:SCAN
3/12/2001,0.3672331,2181:AL:SCAN
3/12/2001,-1.1586347,2182:AL:SCAN
3/12/2001,0.28514734,2176:AL:SCAN
3/12/2001,-0.030571945,2056:AL:SCAN
3/12/2001,-0.3593368,2179:AL:SCAN
3/12/2001,0.8088181,2115:AL:SCAN
3/12/2001,0.28284436,2175:AL:SCAN
3/12/2001,-0.7597529,2053:AL:SCAN
3/19/2001,-0.83047706,2057:AL:SCAN
3/19/2001,-1.7716426,2078:AL:SCAN
3/19/2001,0.62831384,2177:AL:SCAN
3/19/2001,-1.713018,2113:AL:SCAN
3/19/2001,-0.7837641,2174:AL:SCAN
3/19/2001,-0.22989044,2055:AL:SCAN
3/19/2001,-0.9968823,2173:AL:SCAN
3/19/2001,-0.008579592,2180:AL:SCAN
3/19/2001,0.6078905,2114:AL:SCAN
3/19/2001,0.45101145,2178:AL:SCAN
3/19/2001,1.4011829,2181:AL:SCAN
3/19/2001,-3.5,2182:AL:SCAN
3/19/2001,0.72214425,2176:AL:SCAN
3/19/2001,-1.1061139,2056:AL:SCAN
3/19/2001,0.056878045,2179:AL:SCAN
3/19/2001,-0.22528306,2115:AL:SCAN
3/19/2001,-0.5792887,2175:AL:SCAN
3/19/2001,-0.35535175,2053:AL:SCAN
3/26/2001,0.9595674,2057:AL:SCAN
3/26/2001,0.2612859,2078:AL:SCAN
3/26/2001,2.290539,2177:AL:SCAN
3/26/2001,1.5182459,2113:AL:SCAN
3/26/2001,0.33432686,2174:AL:SCAN
3/26/2001,2.2410858,2055:AL:SCAN
3/26/2001,0.5747389,2173:AL:SCAN
3/26/2001,0.6709302,2180:AL:SCAN
3/26/2001,1.0180937,2114:AL:SCAN
3/26/2001,0.71184975,2178:AL:SCAN
3/26/2001,0.6907263,2181:AL:SCAN
3/26/2001,0.5632264,2182:AL:SCAN
3/26/2001,1.2782192,2176:AL:SCAN
3/26/2001,1.7851655,2056:AL:SCAN
3/26/2001,0.72271603,2179:AL:SCAN
3/26/2001,2.395474,2115:AL:SCAN
3/26/2001,2.124568,2175:AL:SCAN
3/26/2001,0.84537464,2053:AL:SCAN
4/2/2001,-0.4615867,2057:AL:SCAN
4/2/2001,-0.6555806,2078:AL:SCAN
4/2/2001,0.8006981,2177:AL:SCAN
4/2/2001,1.1864629,2113:AL:SCAN
4/2/2001,-0.95125616,2174:AL:SCAN
4/2/2001,1.2769642,2055:AL:SCAN
4/2/2001,-0.28830445,2173:AL:SCAN
4/2/2001,0.030294701,2180:AL:SCAN
4/2/2001,-0.04699972,2114:AL:SCAN
4/2/2001,0.29668072,2178:AL:SCAN
4/2/2001,0.6441294,2181:AL:SCAN
4/2/2001,0.43376786,2182:AL:SCAN
4/2/2001,0.07434185,2176:AL:SCAN
4/2/2001,-0.2041898,2056:AL:SCAN
4/2/2001,1.221061,2179:AL:SCAN
4/2/2001,2.3049662,2115:AL:SCAN
4/2/2001,0.844211,2175:AL:SCAN
4/2/2001,-0.5062295,2053:AL:SCAN
4/9/2001,0.70347124,2057:AL:SCAN
4/9/2001,-0.5087026,2078:AL:SCAN
4/9/2001,0.31433594,2177:AL:SCAN
4/9/2001,2.5413082,2113:AL:SCAN
4/9/2001,1.1019303,2174:AL:SCAN
4/9/2001,-9999,2055:AL:SCAN
4/9/2001,-2.3229592,2173:AL:SCAN
4/9/2001,0.7546893,2180:AL:SCAN
4/9/2001,0.75653565,2114:AL:SCAN
4/9/2001,-0.075779416,2178:AL:SCAN
4/9/2001,0.29549474,2181:AL:SCAN
4/9/2001,1.3782789,2182:AL:SCAN
4/9/2001,0.4975031,2176:AL:SCAN
4/9/2001,0.44656003,2056:AL:SCAN
4/9/2001,1.5470761,2179:AL:SCAN
4/9/2001,2.0062919,2115:AL:SCAN
4/9/2001,-1.1026255,2175:AL:SCAN
4/9/2001,-0.06957414,2053:AL:SCAN
4/16/2001,1.6448822,2057:AL:SCAN
4/16/2001,0.50849885,2078:AL:SCAN
4/16/2001,0.4319195,2177:AL:SCAN
4/16/2001,1.2094545,2113:AL:SCAN
4/16/2001,1.2075812,2174:AL:SCAN
4/16/2001,-0.99426275,2055:AL:SCAN
4/16/2001,-0.03242935,2173:AL:SCAN
4/16/2001,-2.9597192,2180:AL:SCAN
4/16/2001,-0.5663479,2114:AL:SCAN
4/16/2001,0.22984299,2178:AL:SCAN
4/16/2001,1.6792173,2181:AL:SCAN
4/16/2001,1.2976966,2182:AL:SCAN
4/16/2001,-0.9167819,2176:AL:SCAN
4/16/2001,-0.09332692,2056:AL:SCAN
4/16/2001,-0.49745375,2179:AL:SCAN
4/16/2001,1.4398868,2115:AL:SCAN
4/16/2001,-0.90955585,2175:AL:SCAN
4/16/2001,0.8942185,2053:AL:SCAN
4/23/2001,2.5061584,2057:AL:SCAN
4/23/2001,0.5238874,2078:AL:SCAN
4/23/2001,0.5439226,2177:AL:SCAN
4/23/2001,0.8975712,2113:AL:SCAN
4/23/2001,0.34093067,2174:AL:SCAN
4/23/2001,1.3278211,2055:AL:SCAN
4/23/2001,0.5807399,2173:AL:SCAN
4/23/2001,-0.68860525,2180:AL:SCAN
4/23/2001,0.49332696,2114:AL:SCAN
4/23/2001,0.46852857,2178:AL:SCAN
4/23/2001,0.8316741,2181:AL:SCAN
4/23/2001,-0.040456578,2182:AL:SCAN
4/23/2001,0.33685178,2176:AL:SCAN
4/23/2001,1.8275717,2056:AL:SCAN
4/23/2001,0.6495986,2179:AL:SCAN
4/23/2001,0.5747344,2115:AL:SCAN
4/23/2001,-0.0898632,2175:AL:SCAN
4/23/2001,0.2759697,2053:AL:SCAN
4/30/2001,-0.005579252,2057:AL:SCAN
4/30/2001,-0.50404793,2078:AL:SCAN
4/30/2001,-0.842215,2177:AL:SCAN
4/30/2001,-0.053224817,2113:AL:SCAN
4/30/2001,0.59181464,2174:AL:SCAN
4/30/2001,0.5572329,2055:AL:SCAN
4/30/2001,0.6780555,2173:AL:SCAN
4/30/2001,-2.612119,2180:AL:SCAN
4/30/2001,-0.45547888,2114:AL:SCAN
4/30/2001,-0.36655605,2178:AL:SCAN
4/30/2001,-1.2263392,2181:AL:SCAN
4/30/2001,-1.5411233,2182:AL:SCAN
4/30/2001,-0.9706793,2176:AL:SCAN
4/30/2001,1.12E-05,2056:AL:SCAN
4/30/2001,0.25641933,2179:AL:SCAN
4/30/2001,-0.45380226,2115:AL:SCAN
4/30/2001,-9999,2175:AL:SCAN
4/30/2001,-1.0079591,2053:AL:SCAN
5/7/2001,-0.54322606,2057:AL:SCAN
5/7/2001,-0.66043663,2078:AL:SCAN
5/7/2001,-0.039989818,2177:AL:SCAN
5/7/2001,-1.15847,2113:AL:SCAN
5/7/2001,-9999,2174:AL:SCAN
5/7/2001,0.5902643,2055:AL:SCAN
5/7/2001,-0.63427395,2173:AL:SCAN
5/7/2001,-0.7228754,2180:AL:SCAN
5/7/2001,-0.841086,2114:AL:SCAN
5/7/2001,0.6316046,2178:AL:SCAN
5/7/2001,-9999,2181:AL:SCAN
5/7/2001,0.77146333,2182:AL:SCAN
5/7/2001,0.40185574,2176:AL:SCAN
5/7/2001,-0.00111674,2056:AL:SCAN
5/7/2001,0.40268767,2179:AL:SCAN
5/7/2001,0.30137596,2115:AL:SCAN
5/7/2001,-9999,2175:AL:SCAN
5/7/2001,0.81901586,2053:AL:SCAN
5/14/2001,-9999,2057:AL:SCAN
5/14/2001,0.61218596,2078:AL:SCAN
5/14/2001,-0.9433116,2177:AL:SCAN
5/14/2001,-0.14996028,2113:AL:SCAN
5/14/2001,-9999,2174:AL:SCAN
5/14/2001,-9999,2055:AL:SCAN
5/14/2001,1.0938449,2173:AL:SCAN
5/14/2001,-0.62945986,2180:AL:SCAN
5/14/2001,-0.5392549,2114:AL:SCAN
5/14/2001,-0.31555372,2178:AL:SCAN
5/14/2001,-9999,2181:AL:SCAN
5/14/2001,1.585281,2182:AL:SCAN
5/14/2001,0.015632598,2176:AL:SCAN
5/14/2001,0.7823384,2056:AL:SCAN
5/14/2001,0.87234515,2179:AL:SCAN
5/14/2001,-0.21938647,2115:AL:SCAN
5/14/2001,-0.6381912,2175:AL:SCAN
5/14/2001,1.4798857,2053:AL:SCAN
5/21/2001,-0.5319564,2057:AL:SCAN
5/21/2001,-0.6162896,2078:AL:SCAN
5/21/2001,-0.8835762,2177:AL:SCAN
5/21/2001,-0.5845122,2113:AL:SCAN
5/21/2001,-9999,2174:AL:SCAN
5/21/2001,-1.4915878,2055:AL:SCAN
5/21/2001,-0.1485606,2173:AL:SCAN
5/21/2001,-0.64942133,2180:AL:SCAN
5/21/2001,-0.3432637,2114:AL:SCAN
5/21/2001,-0.6583807,2178:AL:SCAN
5/21/2001,-1.276531,2181:AL:SCAN
5/21/2001,0.22665386,2182:AL:SCAN
5/21/2001,-1.5740026,2176:AL:SCAN
5/21/2001,-0.01114678,2056:AL:SCAN
5/21/2001,-0.71007603,2179:AL:SCAN
5/21/2001,0.17030904,2115:AL:SCAN
5/21/2001,-9999,2175:AL:SCAN
5/21/2001,-1.3716748,2053:AL:SCAN
5/28/2001,0.25765574,2057:AL:SCAN
5/28/2001,0.41765055,2078:AL:SCAN
5/28/2001,-0.07749001,2177:AL:SCAN
5/28/2001,-1.3408076,2113:AL:SCAN
5/28/2001,-1.2113558,2174:AL:SCAN
5/28/2001,-9999,2055:AL:SCAN
5/28/2001,-1.6374372,2173:AL:SCAN
5/28/2001,0.14298859,2180:AL:SCAN
5/28/2001,-2.6396255,2114:AL:SCAN
5/28/2001,-0.43715486,2178:AL:SCAN
5/28/2001,1.2955272,2181:AL:SCAN
5/28/2001,-0.050340485,2182:AL:SCAN
5/28/2001,-0.7879733,2176:AL:SCAN
5/28/2001,-1.7339776,2056:AL:SCAN
5/28/2001,-1.4499118,2179:AL:SCAN
5/28/2001,0.055769425,2115:AL:SCAN
5/28/2001,-9999,2175:AL:SCAN
5/28/2001,-0.13451639,2053:AL:SCAN
6/4/2001,2.3403099,2057:AL:SCAN
6/4/2001,1.1781884,2078:AL:SCAN
6/4/2001,-9999,2177:AL:SCAN
6/4/2001,-9999,2113:AL:SCAN
6/4/2001,-9999,2174:AL:SCAN
6/4/2001,-9999,2055:AL:SCAN
6/4/2001,0.44116494,2173:AL:SCAN
6/4/2001,-9999,2180:AL:SCAN
6/4/2001,2.9608886,2114:AL:SCAN
6/4/2001,-0.7606451,2178:AL:SCAN
6/4/2001,-0.04526932,2181:AL:SCAN
6/4/2001,1.1128834,2182:AL:SCAN
6/4/2001,-0.13769569,2176:AL:SCAN
6/4/2001,-9999,2056:AL:SCAN
6/4/2001,-9999,2179:AL:SCAN
6/4/2001,0.22814143,2115:AL:SCAN
6/4/2001,1.2574729,2175:AL:SCAN
6/4/2001,1.0658225,2053:AL:SCAN
6/11/2001,1.6298374,2057:AL:SCAN
6/11/2001,1.164601,2078:AL:SCAN
6/11/2001,-9999,2177:AL:SCAN
6/11/2001,-9999,2113:AL:SCAN
6/11/2001,-9999,2174:AL:SCAN
6/11/2001,-9999,2055:AL:SCAN
6/11/2001,-9999,2173:AL:SCAN
6/11/2001,-9999,2180:AL:SCAN
6/11/2001,-9999,2114:AL:SCAN
6/11/2001,-9999,2178:AL:SCAN
6/11/2001,-9999,2181:AL:SCAN
6/11/2001,1.483612,2182:AL:SCAN
6/11/2001,-9999,2176:AL:SCAN
6/11/2001,1.8981346,2056:AL:SCAN
6/11/2001,-9999,2179:AL:SCAN
6/11/2001,1.6021783,2115:AL:SCAN
6/11/2001,-9999,2175:AL:SCAN
6/11/2001,0.71858215,2053:AL:SCAN
6/18/2001,-9999,2057:AL:SCAN
6/18/2001,-9999,2078:AL:SCAN
6/18/2001,-9999,2177:AL:SCAN
6/18/2001,-9999,2113:AL:SCAN
6/18/2001,0.9837339,2174:AL:SCAN
6/18/2001,-9999,2055:AL:SCAN
6/18/2001,-0.1758003,2173:AL:SCAN
6/18/2001,1.1653448,2180:AL:SCAN
6/18/2001,-9999,2114:AL:SCAN
6/18/2001,-9999,2178:AL:SCAN
6/18/2001,-9999,2181:AL:SCAN
6/18/2001,-9999,2182:AL:SCAN
6/18/2001,-9999,2176:AL:SCAN
6/18/2001,1.4401779,2056:AL:SCAN
6/18/2001,-0.1629152,2179:AL:SCAN
6/18/2001,-9999,2115:AL:SCAN
6/18/2001,-9999,2175:AL:SCAN
6/18/2001,-9999,2053:AL:SCAN
6/25/2001,-9999,2057:AL:SCAN
6/25/2001,-9999,2078:AL:SCAN
6/25/2001,-9999,2177:AL:SCAN
6/25/2001,-9999,2113:AL:SCAN
6/25/2001,-9999,2174:AL:SCAN
6/25/2001,-9999,2055:AL:SCAN
6/25/2001,-9999,2173:AL:SCAN
6/25/2001,-9999,2180:AL:SCAN
6/25/2001,-9999,2114:AL:SCAN
6/25/2001,-9999,2178:AL:SCAN
6/25/2001,-9999,2181:AL:SCAN
6/25/2001,-9999,2182:AL:SCAN
6/25/2001,-9999,2176:AL:SCAN
6/25/2001,-9999,2056:AL:SCAN
6/25/2001,-9999,2179:AL:SCAN
6/25/2001,-9999,2115:AL:SCAN
6/25/2001,-9999,2175:AL:SCAN
6/25/2001,-9999,2053:AL:SCAN
7/2/2001,-9999,2057:AL:SCAN
7/2/2001,-9999,2078:AL:SCAN
7/2/2001,-9999,2177:AL:SCAN
7/2/2001,-9999,2113:AL:SCAN
7/2/2001,-9999,2174:AL:SCAN
7/2/2001,-9999,2055:AL:SCAN
7/2/2001,-9999,2173:AL:SCAN
7/2/2001,-9999,2180:AL:SCAN
7/2/2001,-9999,2114:AL:SCAN
7/2/2001,-9999,2178:AL:SCAN
7/2/2001,-9999,2181:AL:SCAN
7/2/2001,-9999,2182:AL:SCAN
7/2/2001,-9999,2176:AL:SCAN
7/2/2001,-9999,2056:AL:SCAN
7/2/2001,-9999,2179:AL:SCAN
7/2/2001,-9999,2115:AL:SCAN
7/2/2001,-9999,2175:AL:SCAN
7/2/2001,-9999,2053:AL:SCAN
7/9/2001,-9999,2057:AL:SCAN
7/9/2001,-9999,2078:AL:SCAN
7/9/2001,-0.018717732,2177:AL:SCAN
7/9/2001,-9999,2113:AL:SCAN
7/9/2001,-9999,2174:AL:SCAN
7/9/2001,-9999,2055:AL:SCAN
7/9/2001,0.7963254,2173:AL:SCAN
7/9/2001,-9999,2180:AL:SCAN
7/9/2001,0.3650178,2114:AL:SCAN
7/9/2001,-0.22373953,2178:AL:SCAN
7/9/2001,0.57020867,2181:AL:SCAN
7/9/2001,-9999,2182:AL:SCAN
7/9/2001,-0.39708307,2176:AL:SCAN
7/9/2001,0.9804484,2056:AL:SCAN
7/9/2001,1.6422142,2179:AL:SCAN
7/9/2001,0.5361203,2115:AL:SCAN
7/9/2001,-0.8752536,2175:AL:SCAN
7/9/2001,-9999,2053:AL:SCAN
7/16/2001,1.9323646,2057:AL:SCAN
7/16/2001,-0.33113572,2078:AL:SCAN
7/16/2001,2.7780056,2177:AL:SCAN
7/16/2001,1.1815398,2113:AL:SCAN
7/16/2001,-2.0687244,2174:AL:SCAN
7/16/2001,-0.2705379,2055:AL:SCAN
7/16/2001,0.27073395,2173:AL:SCAN
7/16/2001,-0.99797386,2180:AL:SCAN
7/16/2001,-0.7839043,2114:AL:SCAN
7/16/2001,-0.19015467,2178:AL:SCAN
7/16/2001,-1.1024573,2181:AL:SCAN
7/16/2001,-1.9520422,2182:AL:SCAN
7/16/2001,-0.59703875,2176:AL:SCAN
7/16/2001,0.71889126,2056:AL:SCAN
7/16/2001,-0.124393955,2179:AL:SCAN
7/16/2001,0.86587894,2115:AL:SCAN
7/16/2001,-9999,2175:AL:SCAN
7/16/2001,-0.8844914,2053:AL:SCAN
7/23/2001,0.9920764,2057:AL:SCAN
7/23/2001,-9999,2078:AL:SCAN
7/23/2001,0.28281677,2177:AL:SCAN
7/23/2001,0.8627241,2113:AL:SCAN
7/23/2001,0.9415004,2174:AL:SCAN
7/23/2001,0.39758554,2055:AL:SCAN
7/23/2001,0.3592548,2173:AL:SCAN
7/23/2001,-9999,2180:AL:SCAN
7/23/2001,-0.22575451,2114:AL:SCAN
7/23/2001,0.23573406,2178:AL:SCAN
7/23/2001,0.5198326,2181:AL:SCAN
7/23/2001,-0.6961333,2182:AL:SCAN
7/23/2001,-0.4809475,2176:AL:SCAN
7/23/2001,0.722812,2056:AL:SCAN
7/23/2001,0.5908828,2179:AL:SCAN
7/23/2001,-0.44571453,2115:AL:SCAN
7/23/2001,-9999,2175:AL:SCAN
7/23/2001,-9999,2053:AL:SCAN
7/30/2001,1.901899,2057:AL:SCAN
7/30/2001,-9999,2078:AL:SCAN
7/30/2001,-9999,2177:AL:SCAN
7/30/2001,0.2559321,2113:AL:SCAN
7/30/2001,-0.28386986,2174:AL:SCAN
7/30/2001,0.57847834,2055:AL:SCAN
7/30/2001,-9999,2173:AL:SCAN
7/30/2001,-9999,2180:AL:SCAN
7/30/2001,0.25128877,2114:AL:SCAN
7/30/2001,-9999,2178:AL:SCAN
7/30/2001,-2.3755229,2181:AL:SCAN
7/30/2001,0.12911609,2182:AL:SCAN
7/30/2001,-0.71698266,2176:AL:SCAN
7/30/2001,0.6457382,2056:AL:SCAN
7/30/2001,0.08856608,2179:AL:SCAN
7/30/2001,-0.87879276,2115:AL:SCAN
7/30/2001,-9999,2175:AL:SCAN
7/30/2001,-9999,2053:AL:SCAN
8/6/2001,1.9974428,2057:AL:SCAN
8/6/2001,-9999,2078:AL:SCAN
8/6/2001,-9999,2177:AL:SCAN
8/6/2001,1.1538913,2113:AL:SCAN
8/6/2001,0.32670334,2174:AL:SCAN
8/6/2001,-9999,2055:AL:SCAN
8/6/2001,0.74573696,2173:AL:SCAN
8/6/2001,-1.4582512,2180:AL:SCAN
8/6/2001,0.5442417,2114:AL:SCAN
8/6/2001,-9999,2178:AL:SCAN
8/6/2001,-0.9173121,2181:AL:SCAN
8/6/2001,-0.01645384,2182:AL:SCAN
8/6/2001,0.9578146,2176:AL:SCAN
8/6/2001,1.0379597,2056:AL:SCAN
8/6/2001,0.81551135,2179:AL:SCAN
8/6/2001,0.022263722,2115:AL:SCAN
8/6/2001,-9999,2175:AL:SCAN
8/6/2001,-9999,2053:AL:SCAN
8/13/2001,-9999,2057:AL:SCAN
8/13/2001,-9999,2078:AL:SCAN
