,Date,ESI,station,2inANOM,4inANOM,8inANOM,20inANOM,40inANOM,2in_pr,4in_pr,8in_pr,20in_pr,40in_pr,2inSMSDC,4inSMSDC,8inSMSDC,20inSMSDC,40inSMSDC
0,2002-04-30,-0.527,2057:AL:SCAN,-1.839515720400024,-2.608768804806756,-2.434961556623188,-2.0845847457543574,-1.598312772501475,2.459822892751722,0.2853229856197215,0.5536485439043295,1.9014401440144015,4.357378249725375,4.0,4.0,4.0,4.0,3.0
1,2002-05-21,1.565,2057:AL:SCAN,-0.3495083529841199,-1.3567226053230907,-1.7021161296727938,-1.6928486081617629,-0.6638072009429341,36.40537881272549,8.639580004565167,4.063780312257779,4.466696669666967,26.913218601244964,,2.0,3.0,3.0,0.0
2,2002-05-28,1.484,2057:AL:SCAN,-0.2347782997432109,-0.9720010576844048,-1.5460485074869463,-1.4416184811503825,-0.8901919149560886,40.02405160161801,16.95959826523625,5.769017827483114,7.684518451845185,18.943000122055416,,1.0,,2.0,1.0
3,2002-06-11,0.419,2057:AL:SCAN,-1.524178011116958,-1.6809477322573725,-1.660610508366945,-1.6080806914308126,-0.8728150949560204,5.91450748879414,4.177128509472723,4.573136972649762,5.569306930693069,19.60209935310631,,3.0,3.0,,1.0
4,2002-06-18,1.374,2057:AL:SCAN,-0.737960921472575,-1.4842389130391718,-2.253738413854335,-2.101627583039201,-0.90129225423321,23.8548157865967,6.41406071673134,0.9854944081497066,1.8226822682268229,18.67447821310875,0.0,2.0,4.0,4.0,1.0
5,2002-06-25,1.852,2057:AL:SCAN,-1.42790114904675,-1.7714884756429583,-2.082060882728139,-2.372330752218672,-1.245404211441206,7.215480485405052,3.355398310887925,1.5502159229321226,1.0463546354635465,9.82546075918467,2.0,3.0,4.0,4.0,2.0
6,2002-07-02,0.668,2057:AL:SCAN,-1.057190662449037,-1.4625142258048278,-2.006030514674062,-2.372012872673632,-1.3460089955764367,15.130643926970592,6.802099977174161,1.815967224006201,1.0576057605760576,8.006835103136824,1.0,2.0,4.0,4.0,2.0
7,2002-07-09,0.691,2057:AL:SCAN,-1.5589561766322504,-2.0867540038491823,-2.1578858702706114,-2.5041128692757897,-1.557464677111505,5.422542910243796,1.3695503309746633,1.3066105636142178,0.6863186318631863,4.918833150250214,,4.0,4.0,4.0,3.0
8,2002-07-23,0.888,2057:AL:SCAN,-1.328247819860887,-1.5536123578371184,-1.8990163493846663,-2.600776100614469,-1.5542558016402943,9.030283152946321,5.455375485049076,2.4471265640571365,0.5625562556255626,4.931038691565972,2.0,,4.0,4.0,3.0
9,2002-07-30,1.297,2057:AL:SCAN,-1.6578010682968842,-1.8697422359693945,-2.2040809092715725,-2.806682657238036,-1.6871484007113622,4.132502459822892,2.624971467701438,1.1183700586867458,0.3712871287128713,3.612840229464177,3.0,4.0,4.0,4.0,3.0
